category,status_type,tier_1,tier_2,tier_3,tier_4,tier_5,tier_6
Físico,Lesão no Braço,braço-hematoma-1,pulso-esticado-2,braço-fraturado-3,ombro-deslocado-4,braço-inútil-5,amputado-6
Físico,Garras,arranhado-1,raspe-2,corte-profundo-3,desfigurado-4,eviscerado-5,rasgado-6
Físico,Pancadas,hematoma-1,espancado-2,ossos-quebrados-3,trauma-grave-4,ossos-moídos-5,crânio-afundado-6
Físico,Combate (-),distraído-1,exposto-2,surpreso-3,sobrepujado-4,cercado-5,derrotado-6
Físico,Combate (+),vantagem-1,atrás-cobertura-2,no-meu-campo-3,superioridade-tática-4,,
Físico,Exaustão,cansado-1,aturdido-2,fatigado-3,exausto-4,desmaiado-5,
Físico,Explosão,choque-explosivo-1,queimado-2,ferimentos-espala-3,trauma-severo-4,incapacitado-5,obliterado-6
Físico,Armas de Fogo,golpe-rasgado-1,ferida-carnuda-2,ferida-bala-3,sangrando-4,morrendo-5,morto-6
Físico,Cabeça,cabeça-batida-1,concussão-2,crânio-fraturado-3,visão-borrada-4,desmaiado-5,morto-cerebral-6
Físico,Ferimentos,ouch!-1,dor-picante-2,braço-quebrado-3,fraturas-múltiplas-4,morrendo-5,morto-6
Físico,Facas,cortado-levemente-1,cortado-2,ferida-profunda-3,esfaqueado-4,sangrando-5,impalado-6
Físico,Pernas,tornozelo-torcido-1,perna-hematoma-2,fêmur-fraturado-3,ligamento-rasgado-4,imóvel-5,amputado-6
Físico,Supressão,entrelaçado-1,restrito-2,algemado-2,amarrado-3,imobilizado-4,sobrepujado-5
Físico,Espadas,arranhado-1,esfarrapado-2,ferida-séria-3,esmagado-4,dismembered-5,decapitado-6
Físico,Tronco,costelas-hematoma-1,sem-fôlego-2,costelas-quebradas-3,sangramento-interno-4,pulmão-colapsado-5,morto-6
Tech,Cibernético,glitch-sensorial-1,resposta-atrasada-2,mal-funcionamento-hardware-3,falha-crítica-4,desligamento-sistema-5,desativado-permanentemente-6
Tech,Contramedidas,firewall-1,intrusão-detectada-2,bloqueio-acesso-3,lockdown-4,violação-segurança-5,sistema-zerado-6
Tech,Disfarce Digital,falsificação-1,proxy-roteado-2,identidade-mascarada-3,deepfake-4,completamente-anônimo-5,inrastreável-6
Tech,Drones & Robótica,interferido-1,ralentado-2,glitcheado-3,mal-funcionando-4,tomado-controle-5,autodestruído-6
Tech,Hackeamento,sondagem-1,varredura-2,violação-3,acesso-profundo-4,controle-root-5,sistema-controlado-6
Tech,Infiltração de Rede,ping-1,escutando-2,homem-no-meio-3,sniffing-total-4,controlando-tráfego-5,sobrescrever-total-6
Tech,Estabilidade do Sistema,lag-leve-1,glitchy-2,instável-3,erros-críticos-4,crashed-5,falha-total-6
Defesa,Cobertura,meia-cobertura-1,cobertura-boa-2,fortificada-3,abrigado-4,,
Defesa,Linha de Tiro,alvo-aberto-1,parcialmente-coberto-2,bem-coberto-3,fortificado-4,,
Defesa,Posicionamento,meio-coberto-1,atrás-obstáculo-2,bom-ponto-3,high-ground-4,,
Elemental,Ácido,pele-irritada-1,bolhas-2,corroído-3,queimaduras-severas-4,dissolvendo-5,derretido-6
Elemental,Químico,exposição-leve-1,tonto-2,enjoado-3,dano-interno-4,falha-sistema-5,morto-6
Elemental,Compressão,costelas-amassadas-1,esforço-interno-2,órgãos-rupturados-3,pulmões-amassados-4,achatado-5,pulverizado-6
Elemental,Terra,arenoso-1,prejudicado-por-rochas-2,esmagado-3,amassado-4,enterrado-5,obliterado-6
Elemental,Elétrico,choque-estático-1,dedos-numb-2,espasmos-musculares-3,paralisado-4,coracao-parado-5,fritado-6
Elemental,Fogo,queimado-levemente-1,bolha-queimadura-2,pele-carbonizada-3,queimaduras-severas-4,inconsciente-queimaduras-5,queimado-em-cenizas-6
